Company Name,TIDM,Sector,Country of Incorporation,LSE Market
Dispensa Group Plc,DISP,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Diverse Income Trust (The) Plc,DIVI,Financial Services ,United Kingdom,MAIN MARKET
Diversified Energy Company Plc,DEC,Energy,United Kingdom,MAIN MARKET
Domino'S Pizza Group Plc,DOM,Travel and Leisure,United Kingdom,MAIN MARKET
Dowlais Group Plc,DWL,Automobiles and Parts,United Kingdom,MAIN MARKET
Downing Renewables & Infrastructure Trust Plc,DORE,Financial Services ,United Kingdom,MAIN MARKET
Downing Strategic Micro-Cap Investment Trust Plc,DSM,Financial Services ,United Kingdom,MAIN MARKET
Dp Eurasia N.V.,DPEU,Travel and Leisure,Netherlands,MAIN MARKET
Dr. Martens Plc,DOCS,Consumer Products and Services,United Kingdom,MAIN MARKET
Drax Group Plc,DRX,Utilities,United Kingdom,MAIN MARKET
Dukemount Capital Plc,DKE,Real Estate ,United Kingdom,MAIN MARKET
Dunedin Enterprise Investment Trust Plc,DNE,Financial Services ,United Kingdom,MAIN MARKET
Dunedin Income Growth Investment Trust Plc,DIG,Financial Services ,United Kingdom,MAIN MARKET
Dunelm Group Plc,DNLM,Retail ,United Kingdom,MAIN MARKET
East Imperial Plc,EISB,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
East Star Resources Plc,EST,Basic Resources,United Kingdom,MAIN MARKET
Easyjet Plc,EZJ,Travel and Leisure,United Kingdom,MAIN MARKET
Ecclesiastical Insurance Office Plc,ELLA,Insurance,United Kingdom,MAIN MARKET
Ecofin Global Utilities And Infrastructure Trust Plc,EGL,Financial Services ,United Kingdom,MAIN MARKET
Ecofin U.S. Renewables Infrastructure Trust Plc,RNEP,Financial Services ,United Kingdom,MAIN MARKET
Ecofin U.S. Renewables Infrastructure Trust Plc,RNEW,Financial Services ,United Kingdom,MAIN MARKET
Ecora Resources Plc,ECOR,Basic Resources,United Kingdom,MAIN MARKET
Edinburgh Investment Trust Plc,EDIN,Financial Services ,United Kingdom,MAIN MARKET
Edinburgh Worldwide Investment Trust Plc,EWI,Financial Services ,United Kingdom,MAIN MARKET
Ediston Property Investment Company Plc,EPIC,Financial Services ,United Kingdom,MAIN MARKET
